official-name,local-authority-code,s1_gov,s2_m&a,s3_c&a,s4_coms,s5_mset,s6_cb,s7_dsi,s8_est,s9_ee,weighted_total,local-authority-type-name,council-quintile,pop_bucket,region,ruc_cluster,political_control,group
Manchester City Council,MAN,90,100,86,78,60,100,80,100,100,87,Metropolitan district,1.0,440k - 640k,North West,Urban,Labour,Single tier
Solihull Metropolitan Borough Council,SOL,76,83,100,100,80,100,40,100,75,85,Metropolitan district,4.0,210k - 290k,West Midlands,Urban,Conservative,Single tier
Newcastle City Council,NET,76,89,86,89,80,100,80,60,75,82,Metropolitan district,1.0,290k - 410k,North East,Urban,Labour,Single tier
City of Edinburgh Council,EDH,95,89,100,67,80,75,40,100,75,82,Scottish unitary authority,5.0,440k - 640k,Scotland,Urban,Coalition/Minority,Single tier
Wiltshire Council,WIL,62,94,71,100,80,100,80,60,100,81,Unitary authority,5.0,440k - 640k,South West,Urban with rural areas,Conservative,Single tier
South Gloucestershire Council,SGC,56,83,71,89,100,100,80,80,75,80,Unitary authority,5.0,210k - 290k,South West,Urban,Conservative,Single tier
London Borough of Hammersmith & Fulham,HMF,81,100,71,78,100,100,20,100,75,80,London borough,3.0,140k - 210k,London,Urban,Labour,Single tier
London Borough of Southwark,SWK,76,94,56,89,100,75,60,80,75,79,London borough,3.0,290k - 410k,London,Urban,Labour,Single tier
Telford & Wrekin Council,TFW,76,78,100,67,100,25,40,100,100,78,Unitary authority,3.0,140k - 210k,West Midlands,Urban,Labour,Single tier
London Borough of Richmond upon Thames,RIC,71,72,71,100,80,100,80,60,75,78,London borough,5.0,140k - 210k,London,Urban,Liberal Democrat,Single tier
London Borough of Lewisham,LEW,71,61,100,78,60,100,80,80,75,77,London borough,2.0,290k - 410k,London,Urban,Labour,Single tier
Isle of Wight Council,IOW,56,94,71,78,80,100,60,80,100,77,Unitary authority,3.0,140k - 210k,South East,Urban with rural areas,Coalition/Minority,Single tier
Nottingham City Council,NGM,67,83,86,56,100,100,40,100,75,76,Unitary authority,1.0,290k - 410k,East Midlands,Urban,Labour,Single tier
Glasgow City Council,GLG,76,61,86,78,60,100,40,100,100,75,Scottish unitary authority,1.0,440k - 640k,Scotland,Urban,Coalition/Minority,Single tier
Reading Borough Council,RDG,67,89,56,78,80,100,60,80,75,74,Unitary authority,4.0,140k - 210k,South East,Urban,Labour,Single tier
London Borough of Brent,BEN,67,78,86,67,40,100,80,80,75,73,London borough,3.0,290k - 410k,London,Urban,Labour,Single tier
London Borough of Ealing,EAL,56,56,100,100,80,50,40,80,75,73,London borough,3.0,290k - 410k,London,Urban,Labour,Single tier
Northumberland County Council,NBL,81,56,86,89,80,50,20,80,100,72,Unitary authority,3.0,290k - 410k,North East,Urban with rural areas,Coalition/Minority,Single tier
